"scientific_name","avg_mr","avg_trophic_position","avg_mass"
"Engraulis_ringens",-0.842381109611167,-2.23747452638871,-1.39054494493147
"Oncorhynchus_nerka",2.60603767539405,-0.797815166992848,1.29313122042356
"Mallotus_villosus",-0.834580546414761,-1.51764484669078,-1.18524043365345
"Pollachius_virens",0.255636198810366,1.12173064553497,-0.25100301784435
"Merlangius_merlangus",-0.189058522474421,1.36167387210095,-0.225366451955691
"Melanogrammus_aeglefinus",-0.0811218916428062,0.401900965837037,-0.54285549564599
"Gadus_macrocephalus",0.866691948155296,0.881787418968991,0.839438523448616
"Gadus_morhua",0.0763236199591659,0.641844192403013,-0.163027503761516
"Micropogonias_undulatus",0.359738658224165,0.401900965837037,-0.316406951021133
"Dicentrarchus_labrax",0.491264607845949,-0.797815166992848,0.0881777949842951
"Morone_saxatilis",1.07174703635449,1.8415603252329,0.727044356548804
"Ammodytes_tobianus",-1.37242979287353,-1.75758807325676,-1.66097192930603
"Centropristis_striata",0.338188356824313,0.161957739271059,-0.152405093475475
"Anoplopoma_fimbria",1.29806557007624,-0.0779854872949177,0.418901994666255
"Pomatomus_saltatrix",0.420389894908343,1.60161709866692,-0.381759110559466
"Thunnus_albacares",2.81671610749829,1.36167387210095,1.37320504111382
"Katsuwonus_pelamis",2.88283748012846,1.36167387210095,0.758684279204864
"Scomber_japonicus",0.4322866004023,-1.03775839355883,-0.430080984316546
"Rachycentron_canadum",1.07800938718044,0.401900965837037,-0.0854184751966633
"Trachurus_trachurus",0.377680884387131,-0.317928713860894,-0.120879513788378
"Reinhardtius_hippoglossoides",-0.58236076396803,1.36167387210095,-0.27434911797261
"Pseudopleuronectes_americanus",-0.970499641208434,-0.557871940426871,-0.706190766442478
"Pleuronectes_platessa",-0.310372233570656,-1.51764484669078,-0.282352316397958
"Solea_solea",-0.590740434293096,-1.51764484669078,-0.560285573990935
"Amblyraja_radiata",-0.0382019244399513,0.881787418968991,0.773821440388892
"Leucoraja_erinacea",-0.940210346181611,-0.557871940426871,-0.988583805604106
"Heterodontus_portusjacksoni",-0.64756851312212,-1.03775839355883,-0.793457567911579
"Scyliorhinus_canicula",-0.133851121711014,-0.0779854872949177,-0.144825585532843
"Triakis_semifasciata",1.3127203131113,-0.317928713860894,1.42343636944453
"Carcharhinus_melanopterus",1.05707121440022,0.161957739271059,0.566453874332145
"Carcharhinus_plumbeus",1.83086200299758,1.60161709866692,1.85294703368815
"Carcharhinus_leucas",2.49490980313309,1.12173064553497,1.49076208366247
"Negaprion_brevirostris",1.46026507116056,1.12173064553497,0.873576317167024
"Sphyrna_lewini",1.0544598802418,0.641844192403013,0.27521800718059
"Isurus_oxyrinchus",3.26890614877533,1.60161709866692,2.08904716281639
"Squalus_acanthias",0.95130474488632,1.36167387210095,1.23819975066843
