ScientificName,ScientificNamePopID,Family,CommonName,SerenaOrSarah,TeleostOrElasmo,MROriginLocation,RawMetabolicRate,MRRawDataOrMean,SampleSize,RawMetabolicRateUnits,RawMetabolicRateCitation,BodyMass,MassRawDataOrMean,BodyMassUnits,Temperature,TemperatureUnits,FactorialAerobicScope,binTemp
Gadus morhua,Gadus morhua NS,Gadidae,Atlantic cod,Sarah,Teleost,"Oresund, Helsingor",130.8,Mean,9,mg O2 kg^-1 h^-1,"Schurmann, H., & Steffensen, J. F. (1997). Effects of temperature, hypoxia and activity on the metabolism of juvenile Atlantic cod.ÊJournal of fish biology,Ê50(6), 1166-1180.",243.4,Mean,g,5,ËšC,3.8,NA
Gadus morhua,Gadus morhua NS,Gadidae,Atlantic cod,Sarah,Teleost,"Oresund, Helsingor",165,Mean,12,mg O2 kg^-1 h^-1,"Schurmann, H., & Steffensen, J. F. (1997). Effects of temperature, hypoxia and activity on the metabolism of juvenile Atlantic cod.ÊJournal of fish biology,Ê50(6), 1166-1180.",371.1,Mean,g,10,ËšC,3.6,NA
Gadus morhua,Gadus morhua NS,Gadidae,Atlantic cod,Sarah,Teleost,"Oresund, Helsingor",211.9,Mean,11,mg O2 kg^-1 h^-1,"Schurmann, H., & Steffensen, J. F. (1997). Effects of temperature, hypoxia and activity on the metabolism of juvenile Atlantic cod.ÊJournal of fish biology,Ê50(6), 1166-1180.",298.4,Mean,g,15,ËšC,3.3,NA
Gadus morhua,Gadus morhua GL,Gadidae,Atlantic cod,Sarah,Teleost,"Godhavn, Greenland",123.5,Raw,1,mg O2 kg^-1 h^-1,"Bushnell, P. G., Steffensen, J. F., Schurmann, H., & Jones, D. R. (1994). Exercise metabolism in two species of cod in arctic waters.ÊPolar Biology,Ê14, 43-48.",160,Raw,g,4,ËšC,2.62,NA
Gadus morhua,Gadus morhua GL,Gadidae,Atlantic cod,Sarah,Teleost,"Godhavn, Greenland",98.4,Raw,1,mg O2 kg^-1 h^-1,"Bushnell, P. G., Steffensen, J. F., Schurmann, H., & Jones, D. R. (1994). Exercise metabolism in two species of cod in arctic waters.ÊPolar Biology,Ê14, 43-48.",103,Raw,g,4,ËšC,2.57,NA
Gadus morhua,Gadus morhua GL,Gadidae,Atlantic cod,Sarah,Teleost,"Godhavn, Greenland",82.1,Raw,1,mg O2 kg^-1 h^-1,"Bushnell, P. G., Steffensen, J. F., Schurmann, H., & Jones, D. R. (1994). Exercise metabolism in two species of cod in arctic waters.ÊPolar Biology,Ê14, 43-48.",184,Raw,g,4,ËšC,2.87,NA
Gadus morhua,Gadus morhua GL,Gadidae,Atlantic cod,Sarah,Teleost,"Godhavn, Greenland",63.1,Raw,1,mg O2 kg^-1 h^-1,"Bushnell, P. G., Steffensen, J. F., Schurmann, H., & Jones, D. R. (1994). Exercise metabolism in two species of cod in arctic waters.ÊPolar Biology,Ê14, 43-48.",126,Raw,g,4,ËšC,1.78,NA
Gadus morhua,Gadus morhua GL,Gadidae,Atlantic cod,Sarah,Teleost,"Godhavn, Greenland",98.9,Raw,1,mg O2 kg^-1 h^-1,"Bushnell, P. G., Steffensen, J. F., Schurmann, H., & Jones, D. R. (1994). Exercise metabolism in two species of cod in arctic waters.ÊPolar Biology,Ê14, 43-48.",190,Raw,g,4,ËšC,2.41,NA
Gadus morhua,Gadus morhua GL,Gadidae,Atlantic cod,Sarah,Teleost,"Godhavn, Greenland",82.2,Raw,1,mg O2 kg^-1 h^-1,"Bushnell, P. G., Steffensen, J. F., Schurmann, H., & Jones, D. R. (1994). Exercise metabolism in two species of cod in arctic waters.ÊPolar Biology,Ê14, 43-48.",150,Raw,g,4,ËšC,2.3,NA
Pollachius virens,Pollachius virens,Gadidae,Saithe,Sarah,Teleost,"Northern Oresund, Helsingor",247.1,Mean,8,mg O2 kg^-1 h^-1,"Steinhausen, M. F., Steffensen, J. F., & Andersen, N. G. (2005). Tail beat frequency as a predictor of swimming speed and oxygen consumption of saithe (Pollachius virens) and whiting (Merlangius merlangus) during forced swimming.ÊMarine Biology,Ê148, 197-204.",0.485,Mean,kg,10,ËšC,4.64,NA
Merlangius merlangus,Merlangius merlangus,Gadidae,Whiting,Sarah,Teleost,"Northern Oresund, Helsingor",85.2,Mean,8,mg O2 kg^-1 h^-1,"Steinhausen, M. F., Steffensen, J. F., & Andersen, N. G. (2005). Tail beat frequency as a predictor of swimming speed and oxygen consumption of saithe (Pollachius virens) and whiting (Merlangius merlangus) during forced swimming.ÊMarine Biology,Ê148, 197-204.",0.297,Mean,kg,10,ËšC,2.13,NA
Ammodytes tobianus,Ammodytes tobianus,Ammodytidae,Lesser sand-eel,Sarah,Teleost,HelsingÃ¸r,413.4,Mean,7,mg O2 kg^-1 h^-1,"Behrens, J. W. and Steffensen, J. F. (2007) The effect of hypoxia on behavioural and physiological aspects of lesser sandeel, Ammodytes tobianus (Linnaeus, 1785). Marine Biology 150: 1365-1377",3.4,Mean,g,10,ËšC,7,NA
