"scientific_name","family","common_name","teleost_or_elasmo","mr_raw_mg_per_kg_per_h","mr_raw_data_or_mean","body_mass_in_grams","mass_raw_data_or_mean","trophic_position","tro_standard_error"
"Thunnus_albacares","scombridae","yellowfin_tuna","teleost","937","mean","2170","middle","4.4","0.41"
"Oncorhynchus_nerka","salmonidae","sockeye_salmon","teleost","593.856","mean","2550","mean","3.5","0.16"
"Oncorhynchus_keta","salmonidae","chum_salmon","teleost","618","mean","3400","mean","3.7","0.19"
"Oncorhynchus_keta","salmonidae","chum_salmon","teleost","642","mean","2700","mean","3.7","0.19"
"Polyprion_oxygeneios","polyprionidae","hapuku_wreckfish","teleost","94.08","mean","118.95","mean","4.4","0.77"
"Polyprion_oxygeneios","polyprionidae","hapuku_wreckfish","teleost","204.96","mean","135.62","mean","4.4","0.77"
"Polyprion_oxygeneios","polyprionidae","hapuku_wreckfish","teleost","334.54","mean","167.18","mean","4.4","0.77"
"Polyprion_oxygeneios","polyprionidae","hapuku_wreckfish","teleost","378.63","mean","160.53","mean","4.4","0.77"
"Polyprion_oxygeneios","polyprionidae","hapuku_wreckfish","teleost","168.89","mean","110.58","mean","4.4","0.77"
"Forsterygion_lapillum","tripterygiidae","common_triplefin","teleost","400","mean","2.5","mean","3.2","0.45"
"Salvelinus_alpinus","salmonidae","arctic_charr","teleost","159993.6","mean","9.87","mean","4.4","0.51"
"Naso_lituratus","acanthuridae","orangespine_unicornfish","teleost","1.63564054166667","raw","4.161","raw","2.3","0.19"
"Naso_lituratus","acanthuridae","orangespine_unicornfish","teleost","1.734286125","raw","4.68","raw","2.3","0.19"
"Naso_lituratus","acanthuridae","orangespine_unicornfish","teleost","1.60609370833333","raw","5.409","raw","2.3","0.19"
"Naso_lituratus","acanthuridae","orangespine_unicornfish","teleost","1.85326058333333","raw","5.227","raw","2.3","0.19"
"Salmo_salar","salmonidae","atlantic_salmon","teleost","345.4","mean","2045","mean","4.5","0.26"
"Pollachius_virens","gadidae","saithe","teleost","492","mean","151.8","mean","4.3","0.35"
"Melanogrammus Aeglefinus","gadidae","haddock","teleost","135","mean","155.9","mean","4","0.13"
"Melanogrammus Aeglefinus","gadidae","haddock","teleost","256","mean","155.9","mean","4","0.13"
"Anoplopoma_fimbria","anoplopomatidae","sablefish","teleost","539.2","mean","993","raw","3.8","0.2"
"Pagrus_auratus","sparidae","australasian_snapper","teleost","310.123456790123","mean","100","mean","3.6","0.22"
"Scomber_japonicus","scombridae","chub_mackerel","teleost","78","mean","97.3","mean","3.4","0.1"
"Pseudopleuronectes_americanus","pleuronectidae","winter_flounder","teleost","16000","mean","325","mean","3.6","0.08"
"Gadus_morhua","gadidae","atlantic_cod","teleost","113.15","mean","163.9","mean","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","131.49","mean","180","mean","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","178.49","mean","169.1","mean","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","154.58","mean","195.8","mean","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","138.64","mean","162.2","mean","4.1","0.18"
"Morone_saxatilis","moronidae","striped_bass","teleost","334","mean","386","mean","4.6","0.25"
"Morone_saxatilis","moronidae","striped_bass","teleost","363","mean","504","mean","4.6","0.25"
"Morone_saxatilis","moronidae","striped_bass","teleost","437","mean","426","mean","4.6","0.25"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","136.42029","raw","88.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","167.85225","raw","83","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","184.90541","raw","83.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","133.53577","raw","73","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","165.3235","raw","74","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","126.6084","raw","85.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","156.68771","raw","79.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","161.97023","raw","56.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","154.04283","raw","92.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","108.05115","raw","91.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","112.75473","raw","98.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","155.17413","raw","83","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","147.8135","raw","86.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","169.23717","raw","75.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","171.61822","raw","83","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","273.99821","raw","84.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","223.77918","raw","74.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","265.04737","raw","66.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","249.53283","raw","65.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","162.75885","raw","63.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","261.09251","raw","69.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","273.93733","raw","54.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","240.0162","raw","84","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","177.26498","raw","53.2","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","208.92633","raw","62.4","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","296.19037","raw","56.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","190.08775","raw","79.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","116.83376","raw","116","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","140.63379","raw","105.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","147.62586","raw","90.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","167.23296","raw","80","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","147.29366","raw","95.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","132.9054","raw","74","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","114.06203","raw","62","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","129.1201","raw","81.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","83.91812","raw","115","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","148.97354","raw","55.2","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","55.51535","raw","98","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","161.48571","raw","105","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","217.17841","raw","90","raw","3.4","0.48"
