"scientific_name","family","common_name","teleost_or_elasmo","mr_raw_mg_per_kg_per_h","mr_raw_data_or_mean","body_mass_in_grams","mass_raw_data_or_mean","trophic_position","tro_standard_error"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","84.84019","raw","1195","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","124.48949","raw","1428","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","114.02496","raw","1246","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","104.1664","raw","1255","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","110.06664","raw","1394","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","77.8395","raw","1105","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","96.68826","raw","1353","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","96.84752","raw","843","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","81.17114","raw","1484","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","108.66276","raw","1235.5","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","70.43978","raw","1234.5","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","83.55986","raw","1268","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","59.14273","raw","1394","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","130.53936","raw","1182.5","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","143.80711","raw","1302","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","70.75198","raw","838","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","85.26038","raw","1484","raw","3.9","0.26"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","89.50494","raw","1235.5","raw","3.9","0.26"
