"ScientificName","Family.x","CommonName","TeleostOrElasmo","MRRawMgPerKgPerH","MRRawDataOrMean","BodyMassInGrams","MassRawDataOrMean","Family.y","trophic level"
"Naso lituratus","Acanthuridae","Orangespine unicornfish","Teleost",1.734286125,"Raw",4.68,"Raw","Acanthuridae","2.3+/- s.e. 0.19"
"Naso lituratus","Acanthuridae","Orangespine unicornfish","Teleost",1.60609370833333,"Raw",5.409,"Raw","Acanthuridae","2.3+/- s.e. 0.19"
"Naso lituratus","Acanthuridae","Orangespine unicornfish","Teleost",1.63564054166667,"Raw",4.161,"Raw","Acanthuridae","2.3+/- s.e. 0.19"
"Naso lituratus","Acanthuridae","Orangespine unicornfish","Teleost",1.85326058333333,"Raw",5.227,"Raw","Acanthuridae","2.3+/- s.e. 0.19"
"Negaprion brevirostris","Carcharhinidae","Lemon shark","Elasmo",242.83,"Mean",1385,"Mean","Carcharhinidae","4.3   +/- s.e. 0.5"
"Ostorhinchus doederleini","Apogonidae","fourline cardinalfish","Teleost",439,"Mean",2.68,"Mean","Apogonidae","3.6+/- s.e. 0.56"
"Ostorhinchus doederleini","Apogonidae","fourline cardinalfish","Teleost",419,"Mean",2.68,"Mean","Apogonidae","3.6+/- s.e. 0.56"
"Ostorhinchus doederleini","Apogonidae","fourline cardinalfish","Teleost",606,"Mean",2.68,"Mean","Apogonidae","3.6+/- s.e. 0.56"
"Ostorhinchus doederleini","Apogonidae","fourline cardinalfish","Teleost",194,"Mean",2.68,"Mean","Apogonidae","3.6+/- s.e. 0.56"
"Pleuronectes platessa","Pleuronectidae","Plaice","Teleost",116.24,"Mean",383.03,"Mean","Pleuronectidae","3.2   +/- s.e. 0.27"
"Pleuronectes platessa","Pleuronectidae","Plaice","Teleost",129.09,"Mean",281.16,"Mean","Pleuronectidae","3.2   +/- s.e. 0.27"
"Pleuronectes platessa","Pleuronectidae","Plaice","Teleost",74.64,"Mean",288.63,"Mean","Pleuronectidae","3.2   +/- s.e. 0.27"
"Pollachius virens","Gadidae","Saithe","Teleost",247.1,"Mean",485,"Mean","Gadidae","4.3   +/- s.e. 0.35"
"Pollachius virens","Gadidae","Saithe","Teleost",492,"Mean",151.8,"Mean","Gadidae","4.3   +/- s.e. 0.35"
"Poromitra crassiceps","Melamphaidae","Crested bigscale","Teleost",0.032,"Mean",4.5,"Middle","Melamphaidae","3.1+/- s.e. 0.3"
"Pseudopleuronectes americanus","Pleuronectidae","Winter flounder","Teleost",16000,"Mean",325,"Mean","Pleuronectidae","3.6   +/- s.e. 0.08"
"Reinhardtius hippoglossoides","Pleuronectidae","Greenland halibut","Teleost",87.06,"Mean",80,"Mean","Pleuronectidae","4.4   +/- s.e. 0.14"
"Rhinecanthus aculeatus","Balistidae","White-banded triggerfish","Teleost",110330,"Mean",136,"Mean","Balistidae","3.2   +/- s.e. 0.14"
"Seriola lalandi","Carangidae","Yellowtail kingfish","Teleost",562.8,"Mean",2000,"Mean","Carangidae","4.2   +/- s.e. 0.14"
"Trachurus trachurus","Carangidae","Atlantic horse mackerel","Teleost",419.02,"Mean",359.6,"Mean","Carangidae","3.7   +/- s.e. 0.02"
